faro_invoice_no,qbo_doc_number,at_load_no,link_basis,customer_faro,customer_qbo,customer_at,faro_po_ref,at_work_order,faro_face_usd,qbo_amount_usd,qbo_open_balance_usd,at_gross_rate_usd,faro_net_advance_usd,qbo_txn_date,faro_issue_date,at_status,defects
014,014,13521,QBO-LINE-PROVEN (line text names the AT load),CORE LOGISTICS BROKERAGE,CORE LOGISTICS BROKERAGE,Core Logistics Brokerage,31496-65096,31496-65096,3500.00,3500.00,3500.00,3500.00,3395.00,2026-08-17,08/17/2026,Completed,NONE
015,015,13523,QBO-LINE-PROVEN (line text names the AT load),DARDINI LLC,DLS Dardini Logistics Services,DLS Dardini Logistics Services,154100,154100,3600.00,3600.00,3600.00,3600.00,3482.00,2026-08-17,08/17/2026,Completed,NONE
016,,,NONE,MPH CARRIER SERVICES INC,,,MPHC261334,,3800.00,,,,3676.00,,08/18/2026,,P0 FACTORED-BUT-NO-QBO-INVOICE (A/R pledged with no book invoice)
017,017,13528,QBO-LINE-PROVEN (line text names the AT load),SAJACKS FREIGHT INC,Sajacks Freigth,Sajacks Freight,9020844,9020844,3100.00,3100.00,3100.00,3100.00,3007.00,2026-08-19,08/19/2026,Completed,"P0 DOUBLE-BILLED-IN-QBO (also invoiced as doc 13528, $3,100.00 open)"
018,018,13529,QBO-LINE-PROVEN (line text names the AT load),DARDINI LLC,DLS Dardini Logistics Services,DLS Dardini Logistics Services,154067,154067,3900.00,3900.00,3900.00,3900.00,3783.00,2026-08-19,08/21/2026,Completed,"P0 DOUBLE-BILLED-IN-QBO (also invoiced as doc 13529, $3,900.00 open)"
019,019,13526,QBO-LINE-PROVEN (line text names the AT load),J RAYL TRANSPORT INC,JRAYL TRANSPORT,JRAYL TRANSPORT,251839,1663443,3500.00,3500.00,3500.00,3500.00,3385.00,2026-08-19,08/19/2026,Completed,"P0 DOUBLE-BILLED-IN-QBO (also invoiced as doc 13526, $3,500.00 open)"
020,020,13532,QBO-LINE-PROVEN (line text names the AT load),"DEL-CAN LOGISTICS, LLC.",Del-Can Logistics LLC,Del-Can Logistics LLC,38484,38484,1000.00,1000.00,1000.00,1000.00,970.00,2026-08-21,08/21/2026,Completed,"P0 DOUBLE-BILLED-IN-QBO (also invoiced as doc 13532, $1,000.00 open)"
021,021,13537,QBO-LINE-PROVEN (line text names the AT load),OSTT LOGISTICS LLC,OSTT LOGISTICS LLC,OSTT Logistics,119922,119922,3300.00,3300.00,3300.00,3300.00,3191.00,2026-08-24,08/24/2026,Completed,NONE
022,022,13534,QBO-LINE-PROVEN (line text names the AT load),"DEL-CAN LOGISTICS, LLC.",Del-Can Logistics LLC,Del-Can Logistics LLC,38463,38463,3100.00,3100.00,3100.00,3100.00,3007.00,2026-08-21,08/21/2026,Completed,"P0 DOUBLE-BILLED-IN-QBO (also invoiced as doc 13534, $3,100.00 open)"
023,023,13535,QBO-LINE-PROVEN (line text names the AT load),S E Mares Forwarding Service LLC,Semares Forwarding Services,Semares Forwarding Services,SEM66495,SEM66495,4900.00,4900.00,4900.00,4900.00,4753.00,2026-08-21,08/21/2026,Completed,"P0 DOUBLE-BILLED-IN-QBO (also invoiced as doc 13535, $4,900.00 open)"
024,024,13536,QBO-LINE-PROVEN (line text names the AT load),Prodigee Logistics LLC,PRODIGEE LOGISTICS LLC,PRODIGEE LOGISTICS LLC,29852,29852,4000.00,4000.00,4000.00,4000.00,3870.00,2026-08-21,08/21/2026,Completed,NONE
025,025,13538,QBO-LINE-PROVEN (line text names the AT load),Jericho Freight LLC,Jericho freight LLC,Jericho freight LLC,21148,21148,800.00,800.00,800.00,800.00,776.00,2026-08-24,08/24/2026,Completed,NONE
,026,,QBO-DOCNUM-PROVEN (AT outage window - no AT load exists),,"IM Specialized Logistics, LLC.",,,,,3120.00,3120.00,,,2026-08-25,,,P2 ON-BOOKS-NOT-FACTORED (owner rule: every customer factors)
027,027,13543,QBO-LINE-PROVEN (line text names the AT load),PFL LOGISTICS LLC,PFL Logistics CO.,PFL Logistics CO.,LD88719,LD88719,2500.00,2500.00,2500.00,2500.00,2415.00,2026-08-26,08/26/2026,Completed,NONE
028,028,13544,QBO-LINE-PROVEN (line text names the AT load),Hawkeye Transportation Services,"Hawkeye Transportation Services, Inc.",Hawkeye Transportation Services,66006,(blank),600.00,600.00,600.00,600.00,582.00,2026-08-26,08/26/2026,Completed,NONE
029,029,13542,QBO-LINE-PROVEN (line text names the AT load),Simple Logistics Solutions,Silo Simple Logistics,SIMPLE LOGISTICS SOLUTIONS,196203,196203,4000.00,4000.00,4000.00,4000.00,3880.00,2026-08-28,08/28/2026,Completed,NONE
030,030,13545,QBO-LINE-PROVEN (line text names the AT load),John J Jerue Truck Broker Inc.,"John J. Jerue Truck Broker, Inc","John J. Jerue Truck Broker, Inc",20348212,20348212,4800.00,4800.00,4800.00,4800.00,4656.00,2026-08-28,08/28/2026,Completed,NONE
031,031,13546,QBO-LINE-PROVEN (line text names the AT load),John J Jerue Truck Broker Inc.,"John J. Jerue Truck Broker, Inc","John J. Jerue Truck Broker, Inc",20348564,20348564,1100.00,1100.00,1100.00,1100.00,1067.00,2026-08-28,08/28/2026,Completed,NONE
032,032,13547,QBO-LINE-PROVEN (line text names the AT load),John J Jerue Truck Broker Inc.,"John J. Jerue Truck Broker, Inc","John J. Jerue Truck Broker, Inc",20348480,20348480,4800.00,4800.00,4800.00,4800.00,4656.00,2026-08-28,08/28/2026,Completed,NONE
033,033,13548,QBO-LINE-PROVEN (line text names the AT load),MPH CARRIER SERVICES INC,"MPH CARRIER SERVICES, INC","MPH CARRIER SERVICES, INC",1000052,1000052,2300.00,2300.00,2300.00,2300.00,2221.00,2026-08-28,08/28/2026,Completed,NONE
034,034,13549,QBO-LINE-PROVEN (line text names the AT load),R2X LLC,R2X LLC,R2X LLC,0314828,0314828,1000.00,1000.00,1000.00,1000.00,970.00,2026-08-28,08/28/2026,Completed,NONE
035,035,13550,QBO-LINE-PROVEN (line text names the AT load),S E Mares Forwarding Service LLC,Semares Forwarding Services,Semares Forwarding Services,SMX14603,SMX14603,4900.00,4900.00,4900.00,4900.00,4753.00,2026-08-28,08/28/2026,Completed,NONE
036,036,13556,QBO-LINE-PROVEN (line text names the AT load),HUMMINGBIRD LOGISTIX LLC,"Hummingbird Logistix, LLC.","Hummingbird Logistix, LLC.",0488,488,4000.00,4000.00,4000.00,4000.00,3880.00,2026-08-28,08/28/2026,Dispatched,NONE
