origin_city,origin_state,origin_postal_code,dest_city,dest_state,dest_postal_code,practical_miles,short_miles,empty_miles,n_practical,n_short,practical_min,practical_max,practical_spread,short_min,short_max,trust_level,source,first_seen,last_seen
DELPHI,IN,,LAREDO,TX,,1382.7,1490.7,182.0,74.0,71,1358.3,1403.2,44.9,1352.2,1775.3,check_zip,history,2021-07-07,2026-08-03
EASTON,ME,,LAREDO,TX,,2570.7,3002.8,487.5,73.0,73,2570.7,2606.4,35.7,2790.0,3391.6,check_zip,history,2023-03-09,2024-02-19
LAREDO,TX,,SIOUX CITY,IA,,1164.9,1149.6,0.0,71.0,67,1164.7,1201.5,36.8,1149.5,2338.9,check_zip,history,2020-12-11,2025-11-19
BURNHAM,PA,,LAREDO,TX,,1813.8,2007.1,278.7,70.0,70,1813.2,1819.3,6.1,1817.4,2030.7,high,history,2022-09-09,2026-06-25
NUEVO LAREDO,TA,,JACKSONVILLE,FL,,1215.9,1204.8,0.0,66.0,64,1215.9,1224.6,8.7,1196.5,1213.5,high,history,2021-01-29,2023-11-01
WATERLOO,IA,,LAREDO,TX,,1253.8,1465.5,261.5,66.0,65,1239.1,1471.7,232.6,1207.8,1776.3,check_zip,history,2020-08-18,2026-01-13
CRESSONA,PA,,LAREDO,TX,,1856.9,1997.6,185.6,65.0,63,1854.8,1858.8,4.0,1835.5,2349.8,high,history,2021-10-12,2026-08-07
LAREDO,TX,,CLACKAMAS,OR,,2259.3,2131.3,0.0,62.0,62,2259.3,2484.4,225.1,2131.3,2404.9,check_zip,history,2022-03-07,2024-05-06
LIBERAL,KS,,LAREDO,TX,,760.1,1113.7,392.9,62.0,62,760.1,766.1,6.0,973.5,1863.2,high,history,2022-05-12,2025-12-15
NUEVO LAREDO,TA,,ELKTON,MD,,1845.4,1779.7,0.0,61.0,57,1845.4,3909.3,2063.9,1572.8,1920.2,check_zip,history,2021-10-14,2024-10-10
COLDWATER,MI,,LAREDO,TX,,1516.8,1580.4,113.3,61.0,59,1516.4,1604.5,88.1,111.5,2123.5,check_zip,history,2021-09-27,2026-07-31
HOUSTON,TX,,LAREDO,TX,,356.6,365.0,24.9,59.0,56,332.7,372.5,39.8,314.2,618.6,check_zip,history,2021-03-25,2026-05-11
NUEVO LAREDO,TA,,TAMPA,FL,,1339.7,1287.8,0.0,57.0,47,1322.5,1784.3,461.8,1263.1,1295.6,check_zip,history,2024-01-11,2026-01-23
LAREDO,TX,,TULSA,OK,,692.7,692.2,0.0,53.0,50,686.0,1020.7,334.7,680.5,780.1,check_zip,history,2021-03-24,2025-12-16
LAREDO,TX,,DALLAS,TX,,432.4,431.6,0.0,52.0,52,422.8,641.4,218.6,418.2,1052.1,check_zip,history,2020-11-23,2026-03-02
DOUGLAS,GA,,LAREDO,TX,,1187.6,1382.0,227.4,51.0,52,1187.6,1190.4,2.8,460.8,2305.2,high,history,2021-03-16,2025-06-18
LAREDO,TX,,BEDFORD PARK,IL,,1347.3,1333.5,0.0,49.0,47,1342.2,1353.0,10.8,1332.2,1339.5,high,history,2021-12-13,2026-07-10
LAREDO,TX,,SALEM,OR,,2423.9,2158.2,0.0,48.0,46,2413.3,2427.5,14.2,2147.1,2413.3,high,history,2021-03-05,2025-12-12
LAREDO,TX,,CHARLOTTE,NC,,1382.7,1364.2,0.0,48.0,47,1379.9,1516.4,136.5,1339.6,1479.4,check_zip,history,2020-11-23,2023-09-22
TARHEEL,NC,,LAREDO,TX,,1500.4,1642.7,165.1,48.0,48,1500.4,1518.0,17.6,1606.6,2240.0,high,history,2023-04-12,2026-03-06
LAREDO,TX,,MIAMI,FL,,1540.0,1507.2,0.0,48.0,40,1520.4,2021.2,500.8,1483.7,1899.7,check_zip,history,2020-10-16,2026-06-12
LAREDO,TX,,HAUPPAGUE,NY,,2032.5,1958.1,0.0,47.0,47,2026.4,2032.5,6.1,1958.1,1969.8,high,history,2022-10-21,2023-05-23
LAREDO,TX,,SWEDESBORO,NJ,,1876.5,1821.9,0.0,45.0,44,1875.7,2209.6,333.9,1751.8,2139.3,check_zip,history,2022-07-31,2026-08-26
BEARDSTOWN,IL,,LAREDO,TX,,1142.8,1370.5,239.1,45.0,41,1142.7,1384.6,241.9,1248.5,1671.9,check_zip,history,2021-04-05,2026-03-16
SEGUIN,TX,,LAREDO,TX,,187.3,375.2,190.1,45.0,36,187.3,495.7,308.4,205.0,652.2,check_zip,history,2022-04-29,2024-09-09
STORM LAKE,IA,,LAREDO,TX,,1199.2,1591.8,415.1,44.0,43,1199.2,1404.2,205.0,1257.6,2189.4,check_zip,history,2022-02-28,2026-08-14
LAREDO,TX,,CARTHAGE,MO,,792.1,786.4,0.0,43.0,44,792.1,793.2,1.1,786.4,1541.2,high,history,2022-06-08,2025-04-08
LAREDO,TX,,STOUGHTON,MA,,2187.2,2124.1,0.0,41.0,39,2182.9,2200.9,18.0,2120.0,2409.1,high,history,2021-10-01,2026-05-19
NUEVO LAREDO,TA,,MORRIS,IL,,1298.9,1290.3,0.0,38.0,36,1298.7,1395.9,97.2,1266.0,1358.3,check_zip,history,2022-04-14,2024-12-30
GUYMON,OK,,LAREDO,TX,,793.6,1137.9,419.6,37.0,37,778.5,798.6,20.1,931.6,1494.0,check_zip,history,2020-11-10,2025-09-29
PALESTINE,TX,,LAREDO,TX,,417.5,534.2,132.3,37.0,33,415.4,434.7,19.3,457.9,622.6,high,history,2021-07-26,2026-08-20
LAREDO,TX,,BLAINE,WA,,2498.9,2292.3,0.0,37.0,37,2437.2,2498.9,61.7,2292.3,2301.3,check_zip,history,2021-10-05,2023-11-06
NUEVO LAREDO,TA,,PHOENIX,AZ,,1127.0,994.2,0.0,36.0,26,1011.7,1465.5,453.8,981.3,1272.5,check_zip,history,2022-02-24,2026-02-20
NUEVO LAREDO,TA,,SUMNER,WA,,2339.8,2197.8,0.0,35.0,30,2213.3,2349.6,136.3,2175.7,2403.5,check_zip,history,2021-10-11,2024-10-14
SAINT JOSEPH,MO,,LAREDO,TX,,964.3,1226.6,275.1,35.0,34,964.1,975.3,11.2,960.8,1586.9,high,history,2020-08-29,2026-03-26
BROOKSHIRE,TX,,LAREDO,TX,,310.9,554.7,267.6,34.0,29,310.9,310.9,0.0,333.8,583.3,high,history,2020-10-30,2024-04-12
FORT SMITH,AR,,LAREDO,TX,,705.0,898.7,230.8,34.0,33,705.0,972.9,267.9,754.3,1564.9,check_zip,history,2021-03-26,2026-02-03
HATFIELD,PA,,LAREDO,TX,,1924.8,1909.7,74.8,34.0,35,1912.2,1924.8,12.6,1875.6,2057.4,high,history,2022-01-11,2025-01-24
LAREDO,TX,,DENTON,TX,,456.7,452.2,0.0,34.0,33,456.7,460.3,3.6,451.2,918.7,high,history,2022-07-13,2025-12-20
LAREDO,TX,,LAREDO,TX,,918.4,989.0,0.0,33.0,18,3.6,4406.0,4402.4,3.6,3768.4,check_zip,history,2021-03-26,2026-08-24
BOARDMAN,OR,,LAREDO,TX,,2107.2,2223.6,248.5,33.0,32,2094.7,2160.7,66.0,2148.9,2335.5,check_zip,history,2021-03-11,2025-05-19
BETHLEHEM,PA,,LAREDO,TX,,1894.8,1933.1,78.2,32.0,32,1894.8,1906.8,12.0,1875.3,2421.0,high,history,2021-05-29,2026-05-30
LAREDO,TX,,HOUSTON,TX,,354.0,600.0,348.7,32.0,19,337.7,438.5,100.8,316.6,764.6,check_zip,history,2020-07-06,2026-08-18
LAREDO,TX,,FOREST GROVE,OR,,2280.2,2152.8,0.0,32.0,32,2280.2,2280.2,0.0,2152.8,2152.8,high,history,2022-07-08,2023-10-20
MONMOUTH,IL,,LAREDO,TX,,1197.8,1403.1,225.2,32.0,32,1197.8,1207.4,9.6,1329.5,2387.7,high,history,2020-09-11,2026-07-14
LAREDO,TX,,PHILADELPHIA,PA,,1894.6,1838.3,0.0,32.0,32,1885.3,1980.8,95.5,1820.0,1952.5,check_zip,history,2021-12-03,2026-07-07
LAREDO,TX,,STONE MOUNTAIN,GA,,1151.9,1140.9,0.0,30.0,30,1150.2,1151.9,1.7,1125.4,2282.7,high,history,2021-12-29,2024-09-28
NUEVO LAREDO,TA,,DALLAS,TX,,437.0,546.4,0.0,29.0,25,422.8,845.8,423.0,421.7,977.6,check_zip,history,2021-08-25,2025-08-05
NUEVO LAREDO,TA,,ORLANDO,FL,,1319.8,1281.3,0.0,29.0,24,1314.5,2075.1,760.6,1278.3,1387.6,check_zip,history,2021-10-22,2026-01-09
LAREDO,TX,,OKLAHOMA CITY,OK,,622.6,611.8,0.0,28.0,25,617.1,657.3,40.2,606.6,654.5,check_zip,history,2023-06-30,2026-02-07
LAREDO,TX,,SMYRNA,TN,,1112.7,1076.1,0.0,28.0,28,1112.6,1144.4,31.8,1073.0,1309.5,check_zip,history,2023-10-08,2026-07-03
MOUNT PLEASANT,TX,,LAREDO,TX,,545.0,655.9,133.2,28.0,28,544.9,545.0,0.1,594.0,785.3,high,history,2022-11-09,2025-12-24
MILAN,MO,,LAREDO,TX,,1057.0,1304.0,274.0,28.0,28,1042.4,1057.0,14.6,1090.5,1594.1,high,history,2022-08-12,2026-03-05
LAREDO,TX,,MANITOWOC,WI,,1512.4,1504.9,0.0,28.0,26,1507.1,1515.8,8.7,1496.3,1504.9,high,history,2020-07-03,2026-07-28
LAREDO,TX,,VIENLAND,NJ,,1896.4,1828.8,0.0,28.0,28,1896.4,1908.0,11.6,1828.8,1858.6,high,history,2020-10-19,2022-08-12
LAREDO,TX,,BRONX,NY,,1987.0,1937.5,0.0,28.0,28,1987.0,2197.5,210.5,1922.3,2124.7,check_zip,history,2021-12-23,2025-07-04
LAREDO,TX,,FORTH WORTH,TX,,434.1,429.1,0.0,27.0,26,427.1,476.6,49.5,418.6,858.9,check_zip,history,2022-06-13,2026-02-18
WILKES BARRE,PA,,LAREDO,TX,,1905.8,1975.1,129.9,27.0,26,1905.6,1906.6,1.0,1899.2,2034.0,high,history,2021-11-02,2024-08-31
MARENGO,IL,,LAREDO,TX,,1368.8,1422.3,66.8,27.0,27,1368.4,1387.3,18.9,1383.0,1686.3,high,history,2021-09-20,2025-09-15
MOUNMOUTH,IL,,LAREDO,TX,,1197.8,1387.3,213.7,26.0,26,1197.8,1197.8,0.0,1308.5,1648.7,high,history,2025-01-03,2026-07-31
LAREDO,TX,,DORAL,FL,,1605.3,1574.0,0.0,25.0,22,1584.0,1624.4,40.4,1557.0,1592.6,check_zip,history,2021-10-15,2022-10-13
NUEVO LAREDO,TA,,AURORA,CO,,1060.1,1018.8,0.0,25.0,23,1059.9,1094.8,34.9,1014.4,1042.8,check_zip,history,2023-06-06,2024-10-11
LAREDO,TX,,UNIVERSITY PARK,IL,,1373.0,1326.1,0.0,25.0,23,1363.4,1859.5,496.1,1321.3,1804.2,check_zip,history,2021-11-26,2026-05-14
NUEVO LAREDO,TA,,VAN BUREN,MI,,1597.7,1546.6,0.0,24.0,24,1597.3,1612.3,15.0,1545.0,1566.0,high,history,2022-04-18,2025-01-09
NUEVO LAREDO,TA,,LA PORTE,TX,,384.8,366.3,0.0,24.0,22,376.1,384.8,8.7,357.6,750.0,high,history,2022-03-02,2023-11-18
LAREDO,TX,,MONROE TOWNSHIP,NJ,,1942.6,1887.2,0.0,24.0,24,1941.6,2094.9,153.3,1875.5,2023.1,check_zip,history,2021-10-09,2023-09-30
LAREDO,TX,,DARIEN,WI,,1385.4,1380.6,0.0,24.0,24,1380.2,1385.4,5.2,1374.2,1380.6,high,history,2022-10-18,2025-03-28
NUEVO LAREDO,TA,,BUFORD,GA,,1191.1,1158.6,0.0,24.0,19,1181.3,1583.8,402.5,1148.8,1280.0,check_zip,history,2024-06-30,2026-02-24
NESCOPECK,PA,,LAREDO,TX,,1898.0,1999.7,181.6,24.0,24,1898.0,1901.9,3.9,1911.8,2091.0,high,history,2022-08-26,2024-06-24
BRYAN,TX,,LAREDO,TX,,333.6,441.8,127.0,24.0,22,325.7,334.2,8.5,390.3,520.2,high,history,2021-10-20,2026-03-24
NUEVO LAREDO,TA,,LAREDO,TX,,15.6,12.4,0.0,24.0,13,8.5,1998.0,1989.5,8.7,2719.1,check_zip,history,2021-12-01,2025-09-09
ST JOHNSBURY,VT,,LAREDO,TX,,2294.3,2384.8,200.6,23.0,23,2294.3,2302.7,8.4,2294.4,2634.1,high,history,2022-10-14,2026-05-29
LAREDO,TX,,INDIANAPOLIS,IN,,1331.1,1289.9,0.0,23.0,21,1324.8,1379.3,54.5,1276.0,1327.2,check_zip,history,2023-10-21,2025-08-06
EASTON,ME,,LAREDO TX,TX,,2570.7,3002.8,487.5,23.0,23,2570.7,2570.7,0.0,2849.1,3248.1,high,history,2023-05-03,2024-01-30
LAREDO,TX,,WATERLOO IA,IA,,1253.8,1210.6,0.0,23.0,22,1253.8,1259.1,5.3,1208.1,1377.0,high,history,2022-02-26,2025-12-02
FORTH WORTH,TX,,LAREDO,TX,,427.5,455.6,31.8,23.0,23,415.8,448.5,32.7,427.5,561.3,check_zip,history,2022-06-02,2024-06-08
LAREDO,TX,,VINELAND,NJ,,1903.7,1848.2,0.0,23.0,23,1902.7,1984.5,81.8,1847.8,1930.7,check_zip,history,2021-11-12,2026-06-05
NUEVO LAREDO,TA,,OWATONNA,MN,,1304.2,1278.6,0.0,23.0,21,1304.2,1459.2,155.0,1217.7,1409.0,check_zip,history,2022-04-11,2025-01-09
NUEVO LAREDO,TA,,SAN ANTONIO,TX,,169.9,309.8,158.5,22.0,3,155.0,463.4,308.4,177.3,309.8,check_zip,history,2023-02-28,2026-03-01
LAFAYETTE,IN,,LAREDO,TX,,1355.6,1438.1,146.6,22.0,22,1355.3,1366.9,11.6,1350.4,1724.4,high,history,2022-08-12,2026-01-30
BAYTOWN,TX,,LAREDO,TX,,379.7,390.9,26.4,22.0,21,379.7,385.7,6.0,368.4,650.2,high,history,2022-09-30,2026-08-13
NUEVO LAREDO,TA,,BAYTOWN,TX,,379.8,367.9,0.0,22.0,19,379.8,483.4,103.6,367.9,745.0,check_zip,history,2023-02-13,2023-10-12
COLUMBUS JUNCTION,IA,,LAREDO,TX,,1215.5,1407.6,224.3,22.0,22,1215.5,1230.4,14.9,1251.9,1678.0,high,history,2022-07-07,2025-07-13
LAREDO,TX,,SPARTA,MI,,1551.8,1503.1,0.0,22.0,22,1551.8,1551.8,0.0,1503.1,1503.1,high,history,2021-11-29,2023-09-02
DALLAS,TX,,LAREDO,TX,,436.1,456.3,20.9,21.0,21,424.3,546.0,121.7,435.6,566.2,check_zip,history,2022-02-24,2025-08-07
LAREDO,TX,,DULUTH,GA,,1169.0,1153.4,0.0,21.0,21,1167.5,1196.1,28.6,1133.5,1178.1,check_zip,history,2023-04-11,2025-02-12
LAREDO,TX,,BOSTON,MA,,2216.4,2155.0,0.0,21.0,21,2194.9,2298.3,103.4,2131.6,2230.5,check_zip,history,2022-11-21,2023-10-28
ROCHELLE,IL,,LAREDO,TX,,1328.9,1393.2,73.4,20.0,20,1328.9,1347.7,18.8,1367.1,1590.8,high,history,2022-06-28,2023-02-14
CARTERET,NJ,,LAREDO,TX,,1966.5,1996.2,86.9,20.0,20,1966.5,1999.9,33.4,1931.6,2033.3,check_zip,history,2021-05-25,2023-08-22
LAREDO,TX,,SAN ANTONIO,TX,,160.2,249.3,154.2,19.0,4,154.2,167.9,13.7,153.7,333.3,high,history,2022-05-30,2026-03-05
LA PORTE,TX,,LAREDO,TX,,376.5,382.5,32.4,19.0,18,372.8,381.9,9.1,348.8,711.8,high,history,2022-08-24,2024-10-09
NUEVO LAREDO,TA,,CHARLOTTE,NC,,1387.8,1357.9,0.0,19.0,19,1379.0,1399.4,20.4,1348.1,1364.8,check_zip,history,2021-12-12,2026-02-20
CENTER,TX,,LAREDO,TX,,519.9,668.3,195.9,19.0,18,519.8,519.9,0.1,618.8,704.4,high,history,2021-02-04,2025-07-28
LAREDO,TX,,POTTSVILLE,PA,,1859.8,1807.3,0.0,19.0,19,1859.8,1861.4,1.6,1807.3,1832.5,high,history,2022-09-26,2023-08-18
NUEVO LAREDO,TA,,LOUISVILLE,MS,,894.0,837.0,0.0,18.0,18,891.5,898.9,7.4,832.5,864.0,high,history,2023-11-29,2026-02-08
ALBERTVILLE,AL,,LAREDO,TX,,1093.4,1182.7,143.7,18.0,18,1092.1,1101.6,9.5,1117.5,1801.3,high,history,2021-08-20,2026-07-27
TAR HEEL,NC,,LAREDO,TX,,1500.4,1638.4,160.6,18.0,18,1500.4,1519.0,18.6,1606.6,2051.7,high,history,2020-12-19,2023-10-06
LAREDO,TX,,FOGELSVILLE,PA,,1879.4,1818.0,0.0,18.0,18,1875.8,1879.4,3.6,1818.0,1825.0,high,history,2021-01-15,2023-07-28
LAREDO,TX,,ALBANY,OR,,2395.0,2144.3,0.0,18.0,15,2394.9,2400.3,5.4,2144.1,2400.3,high,history,2023-01-26,2025-05-28
LAREDO,TX,,FALL RIVER,MA,,2170.1,2104.6,0.0,18.0,17,2168.1,2170.8,2.7,2102.6,2113.5,high,history,2022-02-19,2026-07-17
FARRELL,PA,,LAREDO,TX,,1656.1,1992.3,401.2,18.0,18,1653.1,1774.6,121.5,1929.5,2115.0,check_zip,history,2022-04-06,2022-12-13
LAREDO,TX,,GOODLETTSVILLE,TN,,1104.2,1071.2,0.0,18.0,18,1103.8,1246.9,143.1,1068.3,1211.3,check_zip,history,2023-12-14,2025-10-10
OMAHA,NE,,LAREDO,TX,,1066.7,1478.5,423.2,18.0,18,1066.6,2220.5,1153.9,1061.7,2586.8,check_zip,history,2022-09-07,2025-11-07
LAREDO,TX,,SWEDEDBORO,NJ,,1876.5,1821.9,0.0,17.0,17,1875.7,2771.0,895.3,1820.1,2713.5,check_zip,history,2021-11-26,2026-07-06
LAREDO,TX,,JEFFERSON,GA,,1202.7,1183.4,0.0,17.0,17,1201.1,1345.6,144.5,1161.4,1266.8,check_zip,history,2022-10-18,2026-03-31
LAREDO,TX,,TUTTLE,OK,,622.8,592.0,0.0,17.0,16,622.8,622.8,0.0,592.0,592.0,high,history,2021-12-15,2024-10-30
LAREDO,TX,,ORLANDO,FL,,1313.2,1278.1,0.0,17.0,15,1312.5,1401.5,89.0,1278.0,1387.6,check_zip,history,2020-11-30,2025-08-22
LAREDO,TX,,JOPLIN,MO,,784.7,780.2,0.0,17.0,17,775.6,786.6,11.0,747.7,1559.2,high,history,2023-02-01,2026-02-12
STEVENS POINT,WI,,LAREDO,TX,,1523.3,1691.0,232.3,17.0,17,1522.5,1527.2,4.7,1576.8,1922.1,high,history,2023-04-17,2024-09-09
HYRUM,UT,,LAREDO,TX,,1568.8,1516.9,78.9,17.0,16,1568.8,1586.7,17.9,1449.1,2327.0,high,history,2022-02-09,2024-07-22
SUMTER,SC,,LAREDO,TX,,1392.6,1527.7,156.4,16.0,16,1392.6,1392.6,0.0,1492.8,1689.9,high,history,2022-07-22,2023-03-29
CHICAGO,IL,,LAREDO,TX,,1354.6,1374.7,34.8,16.0,15,1340.9,1388.8,47.9,1347.9,1764.4,check_zip,history,2021-11-29,2025-12-02
NUEVO LAREDO,TA,,KLAMATH FALLS,OR,,2182.8,1967.7,0.0,16.0,14,2182.8,2460.9,278.1,1967.7,1967.7,check_zip,history,2022-06-14,2022-08-05
LAREDO,TX,,HENDERSON,NC,,1567.8,1524.9,0.0,16.0,16,1564.2,1567.8,3.6,1524.9,1529.6,high,history,2023-04-17,2024-01-09
NUEVO LAREDO,TA,,NASHVILLE,TN,,1095.1,1058.4,0.0,16.0,13,1094.4,1496.6,402.2,1058.4,1158.2,check_zip,history,2023-08-28,2025-08-28
LAREDO,TX,,ODESSA,MI,,1568.6,1516.8,0.0,16.0,13,1568.5,1572.1,3.6,1513.5,1516.8,high,history,2020-11-11,2026-01-12
LAREDO,TX,,FREEPORT,TX,,402.3,322.0,0.0,16.0,12,402.0,402.3,0.3,322.0,750.0,high,history,2021-06-03,2026-02-10
FREMONT,NE,,LAREDO,TX,,1100.5,1215.6,147.6,16.0,16,1100.5,1100.6,0.1,1116.6,1560.2,high,history,2021-05-28,2026-03-05
LAREDO,TX,,SALISBURY,NC,,1428.6,1386.9,0.0,15.0,15,1423.6,1436.6,13.0,1381.2,1395.3,high,history,2020-08-08,2026-08-15
WEST MIFFLIN,PA,,LAREDO,TX,,1659.3,1885.3,290.6,15.0,15,1659.3,1659.5,0.2,1631.5,2057.1,high,history,2022-08-04,2024-12-11
LAREDO,TX,,SAGINAW,TX,,435.6,430.0,0.0,15.0,14,435.4,439.0,3.6,375.0,430.2,high,history,2020-10-29,2026-01-29
SINTON,TX,,LAREDO,TX,,149.1,340.7,196.0,15.0,15,145.5,149.1,3.6,147.0,625.5,high,history,2022-11-21,2024-06-13
FT SMITH,AR,,LAREDO,TX,,705.0,965.7,286.2,15.0,14,704.9,705.0,0.1,843.6,1348.8,high,history,2022-12-20,2026-03-17
BURLEY,ID,,LAREDO,TX,,1744.2,1742.2,184.8,14.0,14,1679.5,1744.2,64.7,1584.4,2158.7,check_zip,history,2022-07-26,2025-05-23
CARTHAGE,MS,,LAREDO,TX,,843.3,1088.9,297.3,14.0,13,843.2,843.3,0.1,1017.9,1382.5,high,history,2022-05-05,2025-04-30
LAREDO,TX,,LOGAN,UT,,1643.1,1443.5,0.0,14.0,14,1643.1,1643.1,0.0,1443.5,1443.5,high,history,2022-05-06,2023-10-18
FAIRLESS HILLS,PA,,LAREDO,TX,,1915.6,1972.1,118.6,14.0,14,1915.6,1921.5,5.9,1889.4,1972.1,high,history,2023-05-25,2026-04-23
NUEVO LAREDO,TA,,MONROE TOWNSHIP,NJ,,1945.9,1887.2,0.0,14.0,13,1941.6,2047.8,106.2,1886.7,1999.8,check_zip,history,2022-04-09,2023-07-12
LAREDO,TX,,HUMBOLDT,TN,,973.6,940.7,0.0,14.0,14,967.3,1827.7,860.4,934.0,1747.2,check_zip,history,2023-07-05,2024-09-25
LAREDO,TX,,GREEN COVE SPRINGS,FL,,1233.0,1195.8,0.0,14.0,14,1233.0,1233.0,0.0,1195.8,1195.8,high,history,2023-10-22,2024-03-02
LAREDO,TX,,EASTMAN,GA,,1190.3,1172.3,0.0,14.0,13,1190.3,1190.7,0.4,1154.2,1172.3,high,history,2022-02-23,2025-01-20
LAREDO,TX,,YOAKUM,TX,,250.7,465.1,251.2,14.0,5,250.6,255.7,5.1,430.6,500.0,high,history,2025-10-20,2026-03-23
LAREDO,TX,,WILDER,KY,,1360.5,1313.5,0.0,14.0,14,1360.5,1361.0,0.5,1305.6,1320.7,high,history,2020-10-17,2026-04-01
EAGLE GROVEE,IA,,LAREDO,TX,,1202.9,1317.4,143.2,14.0,14,1202.9,1217.5,14.6,1263.3,1540.3,high,history,2022-08-02,2026-01-02
NUEVO LAREDO,TA,,ALBANY,OR,,2395.1,2144.1,0.0,14.0,14,2395.1,2404.4,9.3,2139.4,2148.1,high,history,2022-01-07,2023-03-25
LAREDO,TX,,LAKELAND,FL,,1323.0,1275.5,0.0,13.0,11,1320.5,1592.3,271.8,1269.8,1549.0,check_zip,history,2020-10-02,2025-09-28
LOGANSPORT,IN,,HIDALGO,TX,,1489.4,1767.6,369.6,13.0,13,1480.8,1494.2,13.4,1403.3,1893.1,high,history,2021-04-12,2026-02-20
DARDANELLE,AR,,LAREDO,TX,,790.7,946.1,213.8,13.0,13,790.7,790.7,0.0,924.7,1323.7,high,history,2022-03-03,2024-09-11
SAINT PAULS,NC,,LAREDO,TX,,1489.8,1604.4,144.8,13.0,13,1489.8,1504.0,14.2,1590.0,1999.1,high,history,2022-05-31,2023-07-28
LAREDO,TX,,BELMONT,NC,,1373.7,1357.4,0.0,13.0,13,1373.7,1373.7,0.0,1357.4,1357.4,high,history,2022-05-21,2023-11-01
DENISON,IA,,LAREDO,TX,,1144.0,1498.2,371.4,13.0,12,1144.0,1144.0,0.0,1197.5,1733.6,high,history,2020-12-11,2025-08-22
NUEVO LAREDO,TA,,BROOKSHIRE,TX,,310.7,600.0,310.9,13.0,3,310.7,334.7,24.0,318.9,697.7,check_zip,history,2021-07-16,2023-06-01
LAREDO,TX,,PETERSBURG,VA,,1649.6,1625.7,0.0,13.0,13,1649.1,1698.5,49.4,1608.4,1692.5,check_zip,history,2022-07-23,2026-08-17
LAREDO,TX,,JONESBORO,AR,,873.5,844.4,0.0,13.0,12,873.3,877.0,3.7,841.2,845.1,high,history,2020-11-06,2026-01-31
LAREDO,TX,,ROCHELLE,IL,,1334.7,1320.9,0.0,13.0,13,1328.8,1334.7,5.9,1320.9,1320.9,high,history,2023-11-20,2024-03-06
LAREDO,TX,,CENTERVILLE,TN,,1047.8,1011.9,0.0,13.0,13,1047.8,1047.8,0.0,1011.9,1011.9,high,history,2021-04-13,2022-09-17
COLDWATER,MI,,HIDALGO,TX,,1601.9,1791.5,261.6,13.0,13,1600.8,1601.9,1.1,1603.1,1866.0,high,history,2024-11-29,2026-01-24
