at_doc,load_number,load_status,load_rate,driver_pay,bill_status,invoice,inv_status,inv_total,fa_id,fa_status,fa_advance,fa_face
5789,13550,closed,4900.00,945.10,open,13550,sent,4900.00,"",,0.00,0.00
5789,13557,completed_docs_received,3900.00,980.75,open,13557,sent,3900.00,"",,0.00,0.00
5790,13542,closed,4000.00,751.05,open,13542,sent,4000.00,"",,0.00,0.00
5790,13554,completed_docs_received,3500.00,761.70,open,13554,sent,3500.00,"",,0.00,0.00
5791,13545,closed,4800.00,819.05,open,13545,sent,4800.00,"",,0.00,0.00
5791,13560,closed,4400.00,870.98,open,13560,sent,4400.00,"",,0.00,0.00
5792,13547,closed,4800.00,819.05,open,13547,sent,4800.00,"",,0.00,0.00
5792,13559,closed,3800.00,709.61,open,13559,sent,3800.00,"",,0.00,0.00
5792,13562,completed_docs_received,1000.00,209.39,open,13562,sent,1000.00,"",,0.00,0.00
5793,13565,closed,4000.00,742.60,open,13565,sent,4000.00,"",,0.00,0.00
5793,13566,closed,1100.00,744.05,open,13566,sent,1100.00,"",,0.00,0.00
5794,13558,closed,3500.00,564.42,open,13558,sent,3500.00,"",,0.00,0.00
5794,13568,completed_docs_received,4000.00,724.42,open,13568,sent,4000.00,"",,0.00,0.00
5795,13526,closed,3500.00,724.51,open,13526,sent,3500.00,"",,0.00,0.00
5795,13561,closed,3450.00,500.22,open,13561,sent,3450.00,"",,0.00,0.00
5795,13567,completed_docs_received,2100.00,550.81,open,13567,sent,2100.00,"",,0.00,0.00
5796,13541,completed_docs_received,2500.00,379.73,open,13541,sent,2500.00,"",,0.00,0.00
5797,13569,closed,3000.00,698.90,open,13569,sent,3000.00,"",,0.00,0.00
5797,13577,completed_docs_received,3500.00,717.95,open,13577,sent,3500.00,"",,0.00,0.00
5798,13572,completed_docs_received,3200.00,485.87,open,13572,sent,3200.00,"",,0.00,0.00
5798,13575,completed_docs_received,2200.00,501.98,open,13575,sent,2200.00,"",,0.00,0.00
5799,13571,completed_docs_received,4900.00,945.10,open,13571,sent,4900.00,"",,0.00,0.00
5799,13574,completed_docs_received,4400.00,957.55,open,13574,sent,4400.00,"",,0.00,0.00
5800,13551,closed,3000.00,698.90,open,13551,sent,3000.00,"",,0.00,0.00
5800,13573,completed_docs_received,2300.00,533.05,open,13573,sent,2300.00,"",,0.00,0.00
5800,13584,completed_docs_received,1000.00,230.15,open,13584,sent,1000.00,"",,0.00,0.00
5801,13570,completed_docs_received,5900.00,761.85,open,13570,sent,5900.00,"",,0.00,0.00
5801,13580,completed_docs_received,3300.00,746.42,open,13580,sent,3300.00,"",,0.00,0.00
5802,13579,completed_docs_received,4900.00,945.10,open,13579,sent,4900.00,"",,0.00,0.00
5802,13589,completed_docs_received,4120.00,1009.75,open,13589,sent,4120.00,"",,0.00,0.00
5803,13564,completed_docs_received,3000.00,698.90,open,13564,sent,3000.00,"",,0.00,0.00
5803,13586,completed_docs_received,3600.00,760.15,open,13586,sent,3600.00,"",,0.00,0.00
5804,13576,completed_docs_received,3700.00,1003.06,open,13576,sent,3700.00,"",,0.00,0.00
5804,13594,completed_docs_received,3250.00,642.77,open,13594,sent,3250.00,"",,0.00,0.00
5805,13582,completed_docs_received,4900.00,945.10,open,13582,sent,4900.00,"",,0.00,0.00
5805,13592,completed_docs_received,4400.00,957.55,open,13592,sent,4400.00,"",,0.00,0.00
5806,13581,completed_docs_received,4900.00,945.10,open,13581,sent,4900.00,"",,0.00,0.00
5806,13591,completed_docs_received,3700.00,973.05,open,13591,sent,3700.00,"",,0.00,0.00
5807,13508,completed_docs_received,2500.00,586.76,open,13508,sent,2500.00,"",,0.00,0.00
5807,13546,completed_docs_received,1100.00,369.86,open,13546,sent,1100.00,"",,0.00,0.00
5807,13552,completed_docs_received,3000.00,685.35,open,13552,sent,3000.00,"",,0.00,0.00
5807,13578,completed_docs_received,4650.00,488.30,open,13578,sent,4650.00,"",,0.00,0.00
5807,13585,completed_docs_received,2100.00,874.31,open,13585,sent,2100.00,"",,0.00,0.00
5807,13587,completed_docs_received,4000.00,654.44,open,13587,sent,4000.00,"",,0.00,0.00
5808,13597,completed_docs_received,4900.00,945.10,open,13597,sent,4900.00,"",,0.00,0.00
5808,13601,completed_docs_received,3600.00,956.15,open,13601,sent,3600.00,"",,0.00,0.00
5809,13583,completed_docs_received,6850.00,959.81,open,13583,sent,6850.00,"",,0.00,0.00
5809,13598,completed_docs_received,4000.00,815.27,open,13598,sent,4000.00,"",,0.00,0.00
5809,13606,completed_docs_received,1100.00,190.89,open,13606,sent,1100.00,"",,0.00,0.00
5810,13590,completed_docs_received,5500.00,832.86,open,13590,sent,5500.00,"",,0.00,0.00
5810,13599,completed_docs_received,4400.00,877.91,open,13599,sent,4400.00,"",,0.00,0.00
5811,13596,completed_docs_received,4900.00,945.10,open,13596,sent,4900.00,"",,0.00,0.00
5811,13603,completed_docs_received,4400.00,954.25,open,13603,sent,4400.00,"",,0.00,0.00
5812,13588,invoiced,5700.00,0.00,open,13588,sent,5700.00,"",,0.00,0.00
5812,13600,invoiced,4900.00,0.00,open,13600,sent,4900.00,"",,0.00,0.00
5813,13602,completed_docs_received,4900.00,945.10,open,13602,sent,4900.00,"",,0.00,0.00
5813,13607,completed_docs_received,5217.00,950.95,open,13607,sent,5217.00,"",,0.00,0.00
5814,13604,completed_docs_received,4900.00,945.10,open,13604,sent,4900.00,"",,0.00,0.00
5814,13608,completed_docs_received,4400.00,957.55,open,13608,sent,4400.00,"",,0.00,0.00
5815,13605,completed_docs_received,3700.00,623.33,open,13605,sent,3700.00,"",,0.00,0.00
5815,13611,completed_docs_received,3700.00,642.77,open,13611,sent,3700.00,"",,0.00,0.00
