Debtor,Inv,PO/Ref,Payment,Deposit,Date,Pmt Type,Pmt Ref
Hawkeye Transportation Services,46,66174,582,,9/3/26,Wire,USMCA Tank 09/03/2026 
PREMIUM EXPRESS LOGISTICS,47,18258,970,,9/3/26,Wire,USMCA Tank 09/03/2026 
Brock LLC,48,804689,"1,067.00",,9/3/26,Wire,USMCA Tank 09/03/2026 
AB GLOBAL LOGISTICS INC,49,61409,"2,037.00",,9/3/26,Wire,USMCA Tank 09/03/2026 
ARMSTRONG TRANSPORT GROUP INC,51,4631956-1,"2,900.00",,9/3/26,Wire,USMCA Tank 09/03/2026 
ARMSTRONG TRANSPORT GROUP INC,45,4631936-1,"2,910.00",,9/3/26,Wire,USMCA Tank 09/03/2026 
Client Payable -- Note: To transfer to IH 35 Reserve ,,,"5,000.00",,9/2/26,Faro Internal Transfer,USMCA Reserve to IH 35 Reserve 
ARMSTRONG TRANSPORT GROUP INC,37,4613473-1,"2,910.00",,9/1/26,Wire,USMCA Tank 09/01/2026 
Refrigerx Transportation LLC,44,1013241,"3,346.50",,9/1/26,Wire,USMCA Tank 09/01/2026 
SERVICE FIRST LOGISTICS INCORPORATED,42,131252703,"3,676.00",,9/1/26,Wire,USMCA Tank 09/01/2026 
SHEERTRANS SOLUTIONS LLC,43,131060693,"4,268.00",,9/1/26,Wire,USMCA Tank 09/01/2026 
"DEL-CAN LOGISTICS, LLC.",38,38642,"2,910.00",,8/31/26,Wire,USMCA Tank 08/31/2026 
AB GLOBAL LOGISTICS INC,41,61471,"3,385.00",,8/31/26,Wire,USMCA Tank 08/31/2026 
BIG G LOGISTICS LLC,39,3965,"3,395.00",,8/31/26,Wire,USMCA Tank 08/31/2026 
DGL EXPORT INC,40,L-43416,"3,783.00",,8/31/26,Wire,USMCA Tank 08/31/2026 
Rsv Deposit -- Note: pago ccg,,,,"5,000.00",8/28/26,Wire,USMCA Tank 08/28/2026 
R2X LLC,34,314828,970,,8/28/26,Wire,USMCA Tank 08/28/2026 
JERUE LOGISTICS SOLUTIONS,31,20348564,"1,067.00",,8/28/26,Wire,USMCA Tank 08/28/2026 
MPH CARRIER SERVICES INC,33,1000052,"2,221.00",,8/28/26,Wire,USMCA Tank 08/28/2026 
Simple Logistics Solutions,29,196203,"3,880.00",,8/28/26,Wire,USMCA Tank 08/28/2026 
HUMMINGBIRD LOGISTIX LLC,36,488,"3,880.00",,8/28/26,Wire,USMCA Tank 08/28/2026 
John J Jerue Truck Broker Inc.,30,20348212,"4,656.00",,8/28/26,Wire,USMCA Tank 08/28/2026 
John J Jerue Truck Broker Inc.,32,20348480,"4,656.00",,8/28/26,Wire,USMCA Tank 08/28/2026 
S E Mares Forwarding Service LLC,35,SMX14603,"4,753.00",,8/28/26,Wire,USMCA Tank 08/28/2026 
Hawkeye Transportation Services,28,66006,582,,8/26/26,Wire,USMCA Tank 08/26/2026 
PFL LOGISTICS LLC,27,LD88719,"2,415.00",,8/26/26,Wire,USMCA Tank 08/26/2026 
Jericho Freight LLC,25,21148,776,,8/24/26,Wire,USMCA Tank 08/24/2026 
OSTT LOGISTICS LLC,21,119922,"3,191.00",,8/24/26,Wire,USMCA Tank 08/24/2026 
"DEL-CAN LOGISTICS, LLC.",20,38484,970,,8/21/26,Wire,USMCA Tank 08/21/2026 
"DEL-CAN LOGISTICS, LLC.",22,38463,"3,007.00",,8/21/26,Wire,USMCA Tank 08/21/2026 
DARDINI LLC,18,154067,"3,783.00",,8/21/26,Wire,USMCA Tank 08/21/2026 
Prodigee Logistics LLC,24,29852,"3,870.00",,8/21/26,Wire,USMCA Tank 08/21/2026 
S E Mares Forwarding Service LLC,23,SEM66495,"4,753.00",,8/21/26,Wire,USMCA Tank 08/21/2026 
SAJACKS FREIGHT INC,17,9020844,"3,007.00",,8/19/26,Wire,USMCA  Tank 08/19/2026 
J RAYL TRANSPORT INC,19,251839,"3,385.00",,8/19/26,Wire,USMCA  Tank 08/19/2026 
MPH CARRIER SERVICES INC,16,MPHC261334,"3,676.00",,8/18/26,Wire,USMCA Tank 08/18/2026 
CORE LOGISTICS BROKERAGE,14,31496-65096,"3,395.00",,8/17/26,Wire,USMCA Tank 08/17/2026 
DARDINI LLC,15,154100,"3,482.00",,8/17/26,Wire,USMCA Tank 08/17/2026 
FLS Transport Inc.,8,5772267,509.24,,8/14/26,Wire,USMCA Wire 08/14/26
Sethmar Transportation Inc,11,477079,679,,8/14/26,Wire,USMCA Wire 08/14/26
CTS XPRESS LLC,12,15418,"3,182.00",,8/14/26,Wire,USMCA Wire 08/14/26
CTS XPRESS LLC,12,15418,688,,8/14/26,Faro Internal Transfer,Transfer to IH35 neg res 08/14/26
S E Mares Forwarding Service LLC,13,SEM66465,"4,753.00",,8/14/26,Faro Internal Transfer,Transfer to IH35 neg res 08/14/26
"ITS LOGISTICS, LLC",7,68747,339.5,,8/13/26,Wire,USMCA Tank 08/13/2026 
Magna Transport Solutions LLC,5,130823895,819,,8/13/26,Wire,USMCA Tank 08/13/2026 
BV LOGISTICS INC,6,20495,"2,512.00",,8/13/26,Wire,USMCA Tank 08/13/2026 
Magna Transport Solutions LLC,5,130823895,"1,800.00",,8/13/26,Faro Internal Transfer,USMCA Internal Transfer IH35 08/13/26
"Watco Supply Chain Services, LLC ",4,2239480,,"1,649.00",8/12/26,Faro Internal Transfer,Internal Transfer to IH35 Reserves 08/12/26
"Watco Supply Chain Services, LLC ",4,2239480,"1,639.00",,8/12/26,Wire,USMCA Tank 08/12/2026 
"Watco Supply Chain Services, LLC ",4,2239480,"1,649.00",,8/12/26,Faro Internal Transfer,Internal Transfer to IH35 Reserves 08/12/26
REHMANN TRANSPORTATION CORP.,1,1523174,"3,482.00",,8/11/26,Wire,Wire USMCA 08/11/26
NCC LOGISTICS USA INC,3,138458,"2,415.00",,8/10/26,Wire,USMCA Wire 08/10/26
IMPACT BULK LOGISTICS LLC,2,4483,"2,910.00",,8/10/26,Wire,USMCA Wire 08/10/26
