pool,at_unit,vin,at_make,at_model,at_year,at_status,at_last_date,tms_unit,tms_status,tms_id,clone_count,actions
excluded,T160,1M1AN4GY3PM030265,Mack,Anthem,2023,Active,2026-06-10 00:00:00,T160,OutOfService,7686c86c-7264-45a9-9d34-3c9a88640c83,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance | reactivate
excluded,T161,1M1AN4GY2PM030385,Mack,Anthem,2023,Active,2026-06-19 08:00:00,T161,OutOfService,d6b4dd28-3525-4dbc-b21c-8de3a24ba98b,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance | reactivate
excluded,T162,1M1AN4GY4PM030386,Mack,Anthem,2023,Active,2026-06-24 08:00:00,T162,InService,c54fb3df-2dce-4c1f-82af-d556eac3e402,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
assignable_16,T163,1M1AN4GY0PM030370,Mack,Anthem,2023,Active,2026-08-26 08:00:00,T163,InService,181b5c93-8bcf-4155-8a2e-ebc86f2a34e1,0,set unit_number=T163 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
assignable_16,T164,1M1AN4GY6PM033354,Mack,Anthem,2023,Active,2026-08-28 10:00:00,T164,InService,478d9f14-b2fd-4cea-a51e-76ec30c39ec7,0,set unit_number=T164 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
excluded,T165,1M1AN4GY8PM033355,Mack,Anthem,2023,Active,2026-05-11 07:00:00,T165,InService,9a3a8090-484e-47ca-9b66-5f645514f18d,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
excluded,T167,1M1AN4GYXPM033356,Mack,Anthem,2023,Active,2026-06-22 07:00:00,T167,InService,c641e95f-99d6-439f-a665-0fbcdf82fe42,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
assignable_16,T168,1M1AN4GY3PM033358,Mack,Anthem,2023,Active,2026-08-06 06:00:00,T168,InService,9aae52c1-7f45-4074-a39c-607dbdfb5f81,0,set unit_number=T168 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
excluded,T169,1XPXD49X8PD892431,Peterbilt,579,2023,Active,2026-07-10 08:00:00,T169,InService,c75fded6-6338-4306-a1d8-95706b89d460,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
assignable_16,T170,4V4WC9EHXRN631153,Volvo,VN,2024,Active,2026-08-31 08:00:00,T170,InService,f4430f58-c259-43d8-83b5-f4004ab866be,0,set unit_number=T170 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
assignable_16,T171,4V4WC9EH3RN631155,Volvo,VN,2024,Active,2026-08-31 06:00:00,T171,InService,033dcdff-98c7-4b2e-8db3-2c94519dbc89,0,set unit_number=T171 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
excluded,T172,4V4WC9EH5RN631156,Volvo,VN,2024,Active,2026-05-29 00:00:00,T172,InService,455e7547-0b35-4308-8ca8-ca7ba0228e68,0,status=OutOfService OR archive | no USMCA assignable | no USMCA insurance
assignable_16,T173,4V4WC9EH1RN631154,Volvo,VN,2024,Active,2026-08-29 08:00:00,T173,InService,82db522d-9efe-4dca-958f-bb931e4a55ca,0,set unit_number=T173 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
assignable_16,T174,4V4WC9EH1PN631152,Volvo,VN,2024,Active,2026-08-28 08:00:00,T174,InService,8a842d23-8261-4c5a-bf72-bb38fa93b9f5,0,set unit_number=T174 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
assignable_16,T175,1XPBD49X9RD647425,Peterbilt,384,2024,Active,2026-08-31 00:00:00,T175,InService,507921c7-ab1c-4fa7-bd7c-7f42552f7423,0,set unit_number=T175 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
assignable_16,T176,1XPBD49X7RD647424,Peterbilt,367,2024,Active,2026-08-10 08:00:00,T176,InService,f439def3-05ac-42cf-829b-2b66ecf85a32,0,set unit_number=T176 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
assignable_16,T177,1XPBD49X5RD647423,Peterbilt,579,2024,Active,2026-08-31 08:00:00,T177,InService,e15c43f8-3c61-4d1c-be67-05a489c3e622,0,set unit_number=T177 | status=InService | deactivated_at=NULL | owner=TRK | lease=USMCA
