Debtor,Date,Inv #,PO,Other Ref,Purchase,Escrow Rsv,Cash Rsv,Discount,Fees,Dispatch,Net Adv,Receipts,Sch Fee,ChgBack (Refund),,Non-purchased
SHEERTRANS SOLUTIONS LLC,9/1/26,43,131060693,,"$4,400.00",$66.00,$0.00,$66.00,$0.00,$0.00,"$4,268.00",$0.00,$0.00,$0.00,,
1,9/1/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
PREMIUM EXPRESS LOGISTICS,9/3/26,47,18258,,"$1,000.00",$15.00,$0.00,$15.00,$0.00,$0.00,$970.00,$0.00,$0.00,$0.00,,
ARMSTRONG TRANSPORT GROUP INC,9/3/26,51,4631956-1,,"$3,000.00",$45.00,$0.00,$45.00,$10.00,$0.00,"$2,900.00",$0.00,$0.00,$0.00,,
Hawkeye Transportation Services,9/3/26,46,66174,,$600.00,$9.00,$0.00,$9.00,$0.00,$0.00,$582.00,$0.00,$0.00,$0.00,,
ARMSTRONG TRANSPORT GROUP INC,9/3/26,45,4631936-1,,"$3,000.00",$45.00,$0.00,$45.00,$0.00,$0.00,"$2,910.00",$0.00,$0.00,$0.00,,
Brock LLC,9/3/26,48,804689,,"$1,100.00",$16.50,$0.00,$16.50,$0.00,$0.00,"$1,067.00",$0.00,$0.00,$0.00,,
AB GLOBAL LOGISTICS INC,9/3/26,49,61409,,"$2,100.00",$31.50,$0.00,$31.50,$0.00,$0.00,"$2,037.00",$0.00,$0.00,$0.00,,
1,9/3/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
AB GLOBAL LOGISTICS INC,9/4/26,50,61461,,"$4,000.00",$60.00,$0.00,$60.00,$10.00,$0.00,"$3,870.00",$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,9/4/26,53,SMX14611,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
ARMSTRONG TRANSPORT GROUP INC,9/4/26,54,#4636360-1,,"$2,300.00",$34.50,$0.00,$34.50,$0.00,$0.00,"$2,231.00",$0.00,$0.00,$0.00,,
XPR LOGISTICS LLC,9/4/26,52,2501086,,"$6,115.00",$91.73,$0.00,$91.73,$0.00,$0.00,"$5,931.54",$0.00,$0.00,$0.00,,
1,9/4/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
ES Logistics,9/8/26,57,ES-6883,,"$2,200.00",$33.00,$0.00,$33.00,$0.00,$0.00,"$2,134.00",$0.00,$0.00,$0.00,,
ARMSTRONG TRANSPORT GROUP INC,9/8/26,59,4619442-1,,"$3,500.00",$52.50,$0.00,$52.50,$10.00,$0.00,"$3,385.00",$0.00,$0.00,$0.00,,
ES Logistics,9/8/26,56,ES6884,,"$4,400.00",$66.00,$0.00,$66.00,$0.00,$0.00,"$4,268.00",$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,9/8/26,60,SEM66511,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
Refrigerx Transportation LLC,9/8/26,58,1013406,,"$3,700.00",$55.50,$0.00,$55.50,$0.00,$0.00,"$3,589.00",$0.00,$0.00,$0.00,,
Refrigerx Transportation LLC,9/8/26,1013272-2,59,,"$5,210.00",$78.15,$0.00,$78.15,$0.00,$0.00,"$5,053.70",$0.00,$0.00,$0.00,,
1,9/8/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Tennessee Steel Haulers LLC,9/10/26,62,2160672,,"$1,000.00",$15.00,$0.00,$15.00,$0.00,$0.00,$970.00,$0.00,$0.00,$0.00,,
DIRECT CONNECT LOGISTIX LLC,9/10/26,61,6492969,,"$2,100.00",$31.50,$0.00,$31.50,$10.00,$0.00,"$2,027.00",$0.00,$0.00,$0.00,,
1,9/10/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,9/11/26,64,SEM66514,,"$4,900.00",$73.50,$0.00,$73.50,$10.00,$0.00,"$4,743.00",$0.00,$0.00,$0.00,,
TRIPLE T TRANSPORT INC,9/11/26,63,42-1269653,,"$3,300.00",$49.50,$0.00,$49.50,$0.00,$0.00,"$3,201.00",$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,9/11/26,67,SMX14610,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
Refrigerx Transportation LLC,9/11/26,68,101333-2,,"$5,700.00",$85.50,$0.00,$85.50,$0.00,$0.00,"$5,529.00",$0.00,$0.00,$0.00,,
Kirsch Transportation Services Inc.,9/11/26,69,712370,,"$4,150.00",$62.25,$0.00,$62.25,$0.00,$0.00,"$4,025.50",$0.00,$0.00,$0.00,,
Hawkeye Transportation Services,9/11/26,65,66304,,"$6,850.00",$102.75,$0.00,$102.75,$0.00,$0.00,"$6,644.50",$0.00,$0.00,$0.00,,
MODE TRANSPORTATION,9/11/26,66,16430047,,"$3,600.00",$54.00,$0.00,$54.00,$0.00,$0.00,"$3,492.00",$0.00,$0.00,$0.00,,
1,9/11/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
ROAR LOGISTICS INC,9/14/26,72,1650646,,"$3,700.00",$55.50,$0.00,$55.50,$0.00,$0.00,"$3,589.00",$0.00,$0.00,$0.00,,
AB GLOBAL LOGISTICS INC,9/14/26,71,61620,,"$5,500.00",$82.50,$0.00,$82.50,$10.00,$0.00,"$5,325.00",$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,9/14/26,76,SEM66525,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
"Key Global Logistics, Inc",9/14/26,70,131527406,,"$4,120.00",$61.80,$0.00,$61.80,$0.00,$0.00,"$3,996.40",$0.00,$0.00,$0.00,,
ES Logistics,9/14/26,73,ES6888,,"$4,400.00",$66.00,$0.00,$66.00,$0.00,$0.00,"$4,268.00",$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,9/14/26,77,SEM66526,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
DAFFINSON LOGISTICS LLC,9/14/26,75,14861,,"$3,250.00",$48.75,$0.00,$48.75,$0.00,$0.00,"$3,152.50",$0.00,$0.00,$0.00,,
1,9/14/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
ARMSTRONG TRANSPORT GROUP INC,9/17/26,79,4668962-1,,"$3,600.00",$54.00,$0.00,$54.00,$0.00,$0.00,"$3,492.00",$0.00,$0.00,$0.00,,
"SUNTECK TRANSPORT CO., LLC",9/17/26,78,16442687,,"$4,000.00",$60.00,$0.00,$60.00,$10.00,$0.00,"$3,870.00",$0.00,$0.00,$0.00,,
1,9/17/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,9/18/26,86,SMX14651,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,9/18/26,82,SEM66528,,"$4,900.00",$73.50,$0.00,$73.50,$10.00,$0.00,"$4,743.00",$0.00,$0.00,$0.00,,
Whitehorse Freight,9/18/26,80,290544,,"$4,400.00",$66.00,$0.00,$66.00,$0.00,$0.00,"$4,268.00",$0.00,$0.00,$0.00,,
"FUZE LOGISTICS SERVICES USA, INC.",9/18/26,85,MTL-624482,,"$1,100.00",$16.50,$0.00,$16.50,$0.00,$0.00,"$1,067.00",$0.00,$0.00,$0.00,,
RLS DISTRIBUTION INC,9/18/26,81,1233617,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,"$4,753.00",$0.00,$0.00,$0.00,,
Refrigerx Transportation LLC,9/18/26,84,1013634,,"$3,700.00",$55.50,$0.00,$55.50,$0.00,$0.00,"$3,589.00",$0.00,$0.00,$0.00,,
PLS LOGISTICS SERVICES LLC,9/18/26,83,32346062,,"$4,400.00",$66.00,$0.00,$66.00,$0.00,$0.00,"$4,268.00",$0.00,$0.00,$0.00,,
1,9/18/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
"IND CIRCLE LOGISTICS, INC",9/21/26,88,2584270,,"$5,217.00",$78.26,$0.00,$78.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
S E Mares Forwarding Service LLC,9/21/26,87,SEM66538,,"$4,900.00",$73.50,$0.00,$73.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Refrigerx Transportation LLC,9/21/26,93,1013714,,"$3,450.00",$51.75,$0.00,$51.75,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Refrigerx Transportation LLC,9/21/26,92,1013583-2,,"$5,700.00",$85.50,$0.00,$85.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
ES Logistics,9/21/26,89,ES6900,,"$4,400.00",$66.00,$0.00,$66.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Refrigerx Transportation LLC,9/21/26,90,1013737,,"$5,900.00",$88.50,$0.00,$88.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Refrigerx Transportation LLC,9/21/26,91,1013707,,"$3,200.00",$48.00,$0.00,$48.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
1,9/21/26 Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
23,Grand Total,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
