Sett.#,Date,Loaded Miles,Empty Miles,Inv.,QP,Total Inv.,RPM,Sales Comm.,%,RPM,Driver Salary,Add. Driver Pay,Ext. Carrier,%,RPM,Fuel,MPG,%,RPM,Fuel Disc.,Exp.,%,RPM,Ot. Pay,SubTtl,Net Rev.,%,RPM
5778,2026-08-17,2552.8,724,4200,0,4200,1.28,0,0,0,-1440.01,-50,0,0,0,-3557.34,4.901,84.7,1.09,0,-133.81,3.19,0.04,0,5181.16,-981.16,-23.36,-0.3
5779,2026-08-20,2748.9,497.2,6500,0,6500,2,0,0,0,-1420.66,-27,0,0,0,-3299.57,5.457,50.76,1.02,0,-142.76,2.2,0.04,0,4889.99,1610.01,24.77,0.5
5780,2026-08-21,769.8,174.9,2500,-37.5,2462.5,2.61,0,0,0,-300,0,0,0,0,-843.76,6.168,34.26,0.89,0,-220.71,8.96,0.23,0,1364.47,1098.03,44.59,1.16
5781,2026-08-21,2850.3,64.1,6700,-154.5,6545.5,2.25,0,0,0,-1280.31,0,0,0,0,-2385.97,6.856,36.45,0.82,0,-796.36,12.17,0.27,0,4462.64,2082.86,31.82,0.71
5782,2026-08-24,3189.6,178.5,7020,-117,6903,2.05,0,0,0,-1489.11,-25,0,0,0,-3301.67,5.782,47.83,0.98,0,-243.29,3.52,0.07,0,5059.07,1843.93,26.71,0.55
5783,2026-08-25,3579.9,360.3,8200,-172.5,8027.5,2.04,0,0,0,-1906.25,-175,0,0,0,-3539.69,6.397,44.09,0.9,0,-121.7,1.52,0.03,0,5742.64,2284.86,28.46,0.58
5784,2026-08-25,3549.9,439.7,10600,-52.5,10547.5,2.64,0,0,0,-1662.94,-25,0,0,0,-5547.73,4.048,52.6,1.39,0,-373.06,3.54,0.09,0,7608.73,2938.77,27.86,0.74
5785,2026-08-26,2884.2,585.8,7600,-64.5,7535.5,2.17,0,0,0,-1523.67,-100,0,0,0,-4570.14,4.202,60.65,1.32,0,-145.6,1.93,0.04,0,6339.41,1196.09,15.87,0.34
5786,2026-08-27,2239.6,170.1,5750,-51.75,5698.25,2.36,0,0,0,-1039.05,0,0,0,0,-2418.24,5.639,42.44,1,0,-91.39,1.6,0.04,0,3548.68,2149.57,37.72,0.89
5787,2026-08-28,1774.3,529.4,4180,-30,4150,1.8,0,0,0,-1000.72,-75,0,0,0,-1990.55,6.594,47.97,0.86,0,-140.2,3.38,0.06,0,3206.47,943.53,22.74,0.41
(28) Totals:,,78067.5,8654.7,196898,-2409.75,194488.25,2.24,0,0,0,-38758.05,-1307,0,0,0,-85813.69,5.512,44.12,0.99,0,-6649.26,3.42,0.08,0,132528,61960.25,31.86,0.71
