table,id,visible_number,date,amount,description_or_name,why_classified_as_fixture,matched_document,action_taken,action_taken_at,action_taken_reason
banking.bank_transactions,3a8972b6-d335-4a29-bf09-ab19fdc4c93e,,2026-09-15,1200.00,TEST DATA expense match Sept keep,explicit review (TEST DATA prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,2bdef3a9-25be-4eb4-96cf-832eb66c70ed,,2026-09-15,1000.00,TEST DATA hop.bank keep,explicit review (TEST DATA prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,8521d332-b091-4f1f-a5e9-4a1598a1ea4c,,2026-09-15,1000.00,TEST DATA receive payment keep,explicit review (TEST DATA prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,78a17a45-76d1-465c-88db-9b96824df9b5,,2026-10-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #03,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,4142ce86-86e3-4309-a669-9bcb3fb0d9a2,,2026-10-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #03,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,84770178-4470-47ab-a80e-18daa7155860,,2026-11-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #04,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,de0e0e4f-8018-4709-b52a-1edb9f9bff9c,,2026-11-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #04,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,OWNER-USMCA-SEAT-JUNK-PURGE-2026-09-01
banking.bank_transactions,95912c22-a821-4995-b006-7cf12ce426d4,,2026-12-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #05,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,7e20d0fa-a6ea-44aa-b341-e52d5bcf00c5,,2026-12-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #05,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,5a553d91-0248-4052-924f-4bb3af991a56,,2027-01-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #06,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,6eb58981-c06b-442e-902a-dc2e90990b15,,2027-01-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #06,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,d0d856f6-7238-471f-a6c1-2f96fba167fc,,2027-02-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #07,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,992f20d1-c186-4a02-949f-33e1a59524d4,,2027-02-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #07,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,73350dd1-71c0-42fa-8eab-03e71d4b5053,,2027-03-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #08,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,04da1690-5e68-4b7c-a43f-e9b902d58cd8,,2027-03-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #08,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,8872c970-7458-473e-872f-297a0c54696c,,2027-04-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #09,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,05cde9d5-9b40-4dae-b5a4-74444e7ae807,,2027-04-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #09,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,75ca1e0a-88d1-4e0e-853e-5adfa6e89579,,2027-05-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #10,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,0a1df7d9-d4ff-487d-8637-9acf4ec8ae86,,2027-05-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #10,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,52f127b9-7151-428a-a8f1-f6872df38fe3,,2027-06-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #11,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,56e42609-540f-4d54-a5b9-2aaedae10e73,,2027-06-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #11,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,28075806-f593-46cb-b1b4-7f2b4bc300a9,,2027-07-05,75.00,Insurance dispersal SAMPLE-VENDOR-UX-0809 #12,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
banking.bank_transactions,c43f2504-4670-4d9c-a1f9-117cc7fc35e8,,2027-07-05,100.00,Insurance dispersal SAMPLE-REPROVE-5094-VENDOR-0809 #12,explicit review (SAMPLE- prefix; future-dated),NONE,ALREADY VOIDED (pre-existing),2026-09-01T05:41:23.964Z,owner_void_all_usmca_test_2026-08-11
accounting.invoices,8149cc90-b98f-42dc-af3c-4cacd0aa2384,L-20260901-0001,,500.00,sample invoice (is_sample_data=true),flag,N/A,ALREADY VOIDED (pre-existing; status=void),2026-09-01T09:33:49.096Z,DISP-VOID-CASCADE-01 live-proof cancelLoad cascade
mdata.loads,03e52655-9938-4782-ad1c-988f474a1460,L-20260901-0001,,,sample load (is_sample_data=true),flag,N/A,ALREADY CANCELLED (pre-existing; status=cancelled),,DISP-VOID-CASCADE-01 live-proof cancelLoad cascade
insurance.policy,8aa8b472-e7e3-4dfb-849b-08dc0f41c04e,TEST-CODEX-BATTERY-20260824,,,TEST-CODEX-BATTERY-20260824,explicit review (packet-named),N/A,ALREADY CANCELLED (pre-existing; status=cancelled),,pre-existing (predates GO-11 packet)
insurance.policy,a1978702-b253-4f90-8326-c4b6c6a2f793,SAMPLE-POL-5743-SIMPLE,,,SAMPLE-POL-5743-SIMPLE,explicit review (packet-named),N/A,ALREADY CANCELLED (pre-existing; status=cancelled),,pre-existing (predates GO-11 packet)
insurance.policy,fddcdeac-21aa-4328-9cc4-de2e2db69333,SAMPLE-REPROVE-5094-VENDOR-0809,,,SAMPLE-REPROVE-5094-VENDOR-0809,explicit review (packet-named),N/A,ALREADY CANCELLED (pre-existing; status=cancelled),,pre-existing (predates GO-11 packet)
insurance.policy,3b217c01-1350-4253-ab5a-b1dd8a0969c7,SAMPLE-VENDOR-UX-0809,,,SAMPLE-VENDOR-UX-0809,explicit review (packet-named),N/A,ALREADY CANCELLED (pre-existing; status=cancelled),,pre-existing (predates GO-11 packet)
insurance.policy,26571c5a-6f7c-4f34-874e-986af564491e,POL-TESTMTDQ164H,,,POL-TESTMTDQ164H,explicit review (packet-named),N/A,ALREADY CANCELLED (pre-existing; status=cancelled),,pre-existing (predates GO-11 packet)
mdata.drivers,b6e60c70-5384-44e8-87aa-3b7bbc373cdb,,,,"CODEX AUDIT-SPINE-DRIVER-20260816-0329",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,10b66f79-fa2e-4e6e-aeb8-2eb9546cb419,,,,"TEST Driver-One-20260806",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,80765f07-fb4a-499b-a13f-f854d3492bf3,,,,"TEST DRIVER-USMCA",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,455450bd-afcd-4f47-8c6a-f9dd75618d8d,,,,"SAMPLE Cascade-1612",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,ad46bb79-c1fd-42bb-8c40-a68a39095694,,,,"SAMPLE Cascade-2042",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,9f35cf21-01bb-467e-bc31-e96bb9c60dfe,,,,"TEST DriverTESTMTDP79YF",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,ba32f967-e6b4-40ff-b9a9-9621aa7158d1,,,,"TEST FailedTESTMTDP79YF",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,2361d1bb-c4e1-4b17-a7ba-44094a14fe7a,,,,"CC3TEST Verify20260822",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,cf3b94b9-c0a0-4a57-8cb3-57c4cc564e3e,,,,"TESTCC3 Driver0822",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,a55abdca-b63c-4ea8-b797-08f9c5fdc7a4,,,,"CODEX FLEET TEST 20260821",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.drivers,db37af23-ea20-493b-8321-a26a30205250,,,,"CODEX ACTIVE FLEET TEST 20260821",flag (is_sample_data=true),0 settlements/0 driver_bills/0 loads,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.vendors,0de43a73-d03b-4a95-9125-a8d5cd26ac43,,,,"DRIVER DUMMY",explicit review (name match, regex-caught, not the packet's count),0 bills/0 expenses,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.vendors,3423c47a-53f1-4667-aed9-fe1a0b503dbb,,,,"CC3 QA-Fixture WO Picker 20260822",explicit review (name match, regex-caught, not the packet's count),0 bills/0 expenses,NOT DELETED (owner decision pending),,zero children confirmed live -- safe candidate, held pending explicit owner go-ahead per destructive-SQL rule
mdata.equipment,a4669bd3-2e96-4493-bbb3-34bc8ea71875,TRL-TESTMTDP79YF-1,,,TRL-TESTMTDP79YF-1,flag (is_sample_data=true),1 work_order (REAL CHILD -- STOP per GO-11 Step 3),STOPPED -- NOT TOUCHED,,owner_company_id=TRK (b49a737b) -- TRK is explicitly out of scope; has a real work_order child
mdata.equipment,03305eeb-11e0-4524-a23c-1bce71341ba1,TRL-TESTMTDP79YF-2,,,TRL-TESTMTDP79YF-2,flag (is_sample_data=true),0 work_orders,STOPPED -- NOT TOUCHED,,owner_company_id=TRK (b49a737b) -- TRK is explicitly out of scope regardless of lease target
mdata.equipment,b29328b6-3c3f-4453-9122-fb226a7b4021,CODEX-LEGAL-TRAILER-20260816-1507,,,CODEX-LEGAL-TRAILER-20260816-1507,flag (is_sample_data=true),0 work_orders,STOPPED -- NOT TOUCHED,,owner_company_id=TRK (b49a737b) -- TRK is explicitly out of scope regardless of lease target
