sku,part_name,manufacturer,model_compatibility,category,sub_category,typical_unit_cost_cents,barcode_upc
DD-DD16-OILFILT-001,DD16 Oil Filter,Detroit Diesel,"DD16",filter,oil_filter,2800,
DD-COMMON-BELTSERPENT,Serpentine Belt (DD common),Detroit Diesel,"DD13,DD15,DD16",engine,belt,2200,
DD-COMMON-ALTBELT,Alternator Belt (DD common),Detroit Diesel,"DD13,DD15,DD16",electrical,belt,1800,
DD-COMMON-STARTER,Starter Motor (DD common),Detroit Diesel,"DD13,DD15,DD16",electrical,starter,38000,
DD-COMMON-ALTERNATOR,Alternator 12V 160A (DD),Detroit Diesel,"DD13,DD15,DD16",electrical,alternator,55000,
DD-COMMON-FANCLUTCH,Fan Clutch (DD common),Detroit Diesel,"DD13,DD15,DD16",cooling,fan_clutch,32000,
DD-COMMON-EXHAUSTMNT,Exhaust Manifold Bolt Kit,Detroit Diesel,"DD13,DD15,DD16",exhaust,bolts,1200,
DD-COMMON-OILSEAL,Rear Main Oil Seal,Detroit Diesel,"DD13,DD15,DD16",engine,seal,1500,
DD-DD13-CRANKSEAL,Front Crankshaft Seal Kit,Detroit Diesel,"DD13",engine,seal,3200,
DD-DD15-CRANKSEAL,Front Crankshaft Seal Kit,Detroit Diesel,"DD15",engine,seal,3600,
DD-COMMON-COOLANTTSTAT,Coolant Thermostat Housing,Detroit Diesel,"DD13,DD15",cooling,housing,8500,
DD-COMMON-MAPAKG,MAP Sensor Kit,Detroit Diesel,"DD13,DD15,DD16",electrical,sensor,1800,
DD-COMMON-CAMAKG,CAM Sensor Kit,Detroit Diesel,"DD13,DD15,DD16",electrical,sensor,2200,
DD-COMMON-CRANKPOS,Crankshaft Position Sensor,Detroit Diesel,"DD13,DD15,DD16",electrical,sensor,1600,
DD-COMMON-FUELPRESS,Fuel Pressure Sensor,Detroit Diesel,"DD13,DD15,DD16",fuel_system,sensor,2100,
DD-DD13-FLEXPLATE,DD13 Flexplate,Detroit Diesel,"DD13",transmission,flexplate,42000,
DD-DD15-FLEXPLATE,DD15 Flexplate,Detroit Diesel,"DD15",transmission,flexplate,46000,
DD-COMMON-TRANSFILT,Transmission Filter Kit,Detroit Diesel,"DD13,DD15,DD16",filter,transmission_filter,6800,
DD-COMMON-FUELTANK,Fuel Tank Sending Unit,Detroit Diesel,"DD13,DD15,DD16",fuel_system,fuel_tank,9800,
DD-DD13-INLETMANIFOLD,Inlet Manifold Gasket DD13,Detroit Diesel,"DD13",engine,gasket,1800,
DD-DD15-INLETMANIFOLD,Inlet Manifold Gasket DD15,Detroit Diesel,"DD15",engine,gasket,2200,
DD-COMMON-HVACBLOWER,HVAC Blower Motor,Detroit Diesel,"DD13,DD15,DD16",cabin,hvac,12000,
DD-COMMON-HVACCORE,HVAC Heater Core,Detroit Diesel,"DD13,DD15,DD16",cabin,hvac,24000,
DD-COMMON-COMPRESSOR,A/C Compressor,Detroit Diesel,"DD13,DD15,DD16",cabin,ac,58000,
DD-COMMON-RELAYFAN,Cooling Fan Relay,Detroit Diesel,"DD13,DD15,DD16",cooling,relay,2400,
DD-COMMON-PRESREGULATR,Fuel Pressure Regulator,Detroit Diesel,"DD13,DD15,DD16",fuel_system,regulator,6500,
DD-DD13-EXHASTBRK,DD13 Exhaust Brake Valve,Detroit Diesel,"DD13",exhaust,brake_valve,18000,
DD-DD15-EXHASTBRK,DD15 Exhaust Brake Valve,Detroit Diesel,"DD15",exhaust,brake_valve,22000,
DD-COMMON-DIECAST,Die-Cast Valve Cover,Detroit Diesel,"DD13,DD15,DD16",engine,cover,8500,
DD-COMMON-DRIVESHFT,Drive Shaft Yoke,Detroit Diesel,"DD13,DD15,DD16",transmission,driveline,15000,
DD-COMMON-COOLANTSW,Coolant Level Sensor,Detroit Diesel,"DD13,DD15,DD16",cooling,sensor,1800,
DD-COMMON-ENGMOMT,Engine Mount (pair),Detroit Diesel,"DD13,DD15,DD16",engine,mount,12000,
DD-COMMON-FRONTENG,Front Engine Cover Gasket,Detroit Diesel,"DD13,DD15,DD16",engine,gasket,3200,
DD-COMMON-OILPRESSURE,Oil Pressure Sensor,Detroit Diesel,"DD13,DD15,DD16",engine,sensor,1400,
DD-COMMON-GLOW,Glow Plug (each),Detroit Diesel,"DD13,DD15,DD16",engine,glow_plug,3200,
DD-COMMON-OILCOOLER,Oil Cooler Assembly,Detroit Diesel,"DD13,DD15,DD16",engine,oil_cooler,48000,
DD-COMMON-RETARDER,Exhaust Brake Retarder,Detroit Diesel,"DD13,DD15,DD16",exhaust,retarder,95000,
DD-DD13-TIMINGCHAIN,DD13 Timing Chain Kit,Detroit Diesel,"DD13",engine,timing,38000,
DD-DD15-TIMINGCHAIN,DD15 Timing Chain Kit,Detroit Diesel,"DD15",engine,timing,44000,
DD-COMMON-INTERCOOLER,Intercooler Assembly,Detroit Diesel,"DD13,DD15,DD16",cooling,intercooler,68000,
DD-COMMON-IDLERPULLEY,Idler Pulley,Detroit Diesel,"DD13,DD15,DD16",engine,pulley,2800,
DD-COMMON-TENSIONER,Belt Tensioner,Detroit Diesel,"DD13,DD15,DD16",engine,tensioner,3600,
DD-COMMON-PCMMODULE,Powertrain Control Module (PCM),Detroit Diesel,"DD13,DD15,DD16",electrical,pcm,180000,
DD-COMMON-TACHOMETER,Tachometer Sensor,Detroit Diesel,"DD13,DD15,DD16",electrical,sensor,2400,
DD-COMMON-CHARGEAIR,Charge Air Cooler,Detroit Diesel,"DD13,DD15,DD16",cooling,charge_air,32000,
DD-COMMON-OILRING,Oil Control Ring Set,Detroit Diesel,"DD13,DD15,DD16",engine,rings,15000,
