sku,part_name,manufacturer,model_compatibility,category,sub_category,typical_unit_cost_cents,barcode_upc
FL-CASC-MARKER,Cascadia Clearance Marker Light,Freightliner,"Cascadia",electrical,marker_light,1800,
FL-CASC-HORNAIR,Cascadia Air Horn Assembly,Freightliner,"Cascadia",cabin,horn,8500,
FL-CASC-SEATDRIVER,Cascadia Driver Air Seat,Freightliner,"Cascadia",cabin,seat,85000,
FL-CASC-SEATPASS,Cascadia Passenger Seat,Freightliner,"Cascadia",cabin,seat,55000,
FL-CASC-SLEEPER-MATTRESS,Cascadia Sleeper Mattress,Freightliner,"Cascadia",cabin,sleeper,28000,
FL-CASC-DASHPANEL,Cascadia Dash Panel,Freightliner,"Cascadia",cabin,dash,32000,
FL-CASC-GAUGEKIT,Cascadia Instrument Cluster,Freightliner,"Cascadia",electrical,cluster,68000,
FL-CASC-STEERCOLUMN,Cascadia Steering Column,Freightliner,"Cascadia",cabin,steering,48000,
FL-CASC-STEERWHEEL,Cascadia Steering Wheel,Freightliner,"Cascadia",cabin,steering,18000,
FL-CASC-AIRDRYER,Cascadia Air Dryer Assembly,Freightliner,"Cascadia",suspension,air,22000,
FL-CASC-AIRTANK,Cascadia Air Tank/Reservoir,Freightliner,"Cascadia",suspension,air,15000,
FL-CASC-LOADVAL,Cascadia Load Leveling Valve,Freightliner,"Cascadia",suspension,valve,8500,
FL-CASC-AIRBAG-FRONT,Cascadia Front Air Bag,Freightliner,"Cascadia",suspension,air_bag,18000,
FL-CASC-AIRBAG-REAR,Cascadia Rear Air Bag,Freightliner,"Cascadia",suspension,air_bag,24000,
FL-CASC-AIRBAGKV,Cascadia Air Bag Valve,Freightliner,"Cascadia",suspension,valve,5500,
FL-CASC-FUELTANK,Cascadia Fuel Tank 100gal,Freightliner,"Cascadia",fuel_system,tank,48000,
FL-CASC-FUELTANKSTAP,Cascadia Fuel Tank Strap,Freightliner,"Cascadia",fuel_system,strap,3200,
FL-CASC-FUELCAP,Cascadia Fuel Cap,Freightliner,"Cascadia",fuel_system,cap,1200,
FL-CASC-EXHASTSTACK,Cascadia Exhaust Stack,Freightliner,"Cascadia",exhaust,stack,38000,
FL-CASC-EXHAUSTBAND,Cascadia Exhaust Band Clamp,Freightliner,"Cascadia",exhaust,clamp,2200,
FL-CASC-STEPKIT,Cascadia Step Kit (pair),Freightliner,"Cascadia",body,step,12000,
FL-CASC-MUDFLAP,Cascadia Mud Flap Kit,Freightliner,"Cascadia",body,mud_flap,4800,
FL-CASC-FIFTHWHL,Cascadia Fifth Wheel Plate,Freightliner,"Cascadia",body,fifth_wheel,38000,
FL-CASC-SUSPENSION-SHCK,Cascadia Shock Absorber (each),Freightliner,"Cascadia",suspension,shock,22000,
FL-CASC-AIRRIDE,Cascadia Air Ride Suspension Bracket,Freightliner,"Cascadia",suspension,bracket,18000,
FL-CASC-BRAKECAM,Cascadia S-Cam Brake Kit,Freightliner,"Cascadia",brake,brake_cam,15000,
FL-CASC-BRAKESHOE,Cascadia Brake Shoe Set (axle),Freightliner,"Cascadia",brake,brake_shoe,18000,
FL-CASC-BRAKEDISC,Cascadia Disc Brake Pad Set,Freightliner,"Cascadia",brake,brake_pad,9500,
FL-CASC-BRAKEROTOR,Cascadia Brake Rotor,Freightliner,"Cascadia",brake,rotor,28000,
FL-CASC-BRAKECYLIND,Cascadia Brake Chamber,Freightliner,"Cascadia",brake,chamber,12000,
FL-CASC-SLACKADJ,Cascadia Automatic Slack Adjuster,Freightliner,"Cascadia",brake,slack_adjuster,8500,
FL-CASC-HUBCAP,Cascadia Hub Cap Kit,Freightliner,"Cascadia",tire,hub,2800,
FL-CASC-LUGHNUT,Cascadia Lug Nut Kit,Freightliner,"Cascadia",tire,lug,3200,
FL-CASC-HUBUNIT,Cascadia Hub Unit Assembly,Freightliner,"Cascadia",tire,hub,48000,
FL-CASC-KINGPIN,Cascadia King Pin Kit,Freightliner,"Cascadia",suspension,king_pin,28000,
FL-CASC-TIEROD,Cascadia Tie Rod End (each),Freightliner,"Cascadia",suspension,tie_rod,8500,
FL-CASC-DRVSHAFT-FRNT,Cascadia Front Drive Shaft,Freightliner,"Cascadia",transmission,driveline,32000,
FL-CASC-DRVSHAFT-REAR,Cascadia Rear Drive Shaft,Freightliner,"Cascadia",transmission,driveline,38000,
FL-CASC-UPJOINT,Cascadia Universal Joint (each),Freightliner,"Cascadia",transmission,u_joint,4500,
FL-CASC-DIFFPINION,Cascadia Differential Pinion Seal,Freightliner,"Cascadia",transmission,seal,3800,
FL-CASC-DIFFFLUID,Cascadia Differential Fluid,Freightliner,"Cascadia",fluid,gear_oil,2800,
FL-CASC-COOLANTFLUID,Cascadia Coolant (1gal),Freightliner,"Cascadia",fluid,coolant,2200,
FL-CASC-OILSAE15W40,SAE 15W-40 Engine Oil (1gal),Freightliner,"Cascadia",fluid,oil,1800,
FL-CASC-OILSYNTHETIC,Synthetic 10W-30 Engine Oil (1gal),Freightliner,"Cascadia",fluid,oil,3200,
FL-CASC-POWERSTEERFLUID,Power Steering Fluid,Freightliner,"Cascadia",fluid,power_steering,1400,
FL-CASC-DEFFLUID,DEF Fluid 2.5gal,Freightliner,"Cascadia",fluid,def,2400,
FL-CASC-TRANSFLUID,Transmission Fluid Dexron,Freightliner,"Cascadia",fluid,transmission_fluid,2800,
FL-CASC-BRKFLUID,Brake Fluid DOT3,Freightliner,"Cascadia",fluid,brake_fluid,1200,
FL-CASC-AIRFILTKIT,Cascadia Air Cleaner Kit,Freightliner,"Cascadia",filter,air_filter,6500,
FL-CASC-CABINAIRFILT,Cascadia Cabin Air Filter,Freightliner,"Cascadia",filter,cabin_filter,3800,
FL-CASC-TRANSFILTKIT,Cascadia Transmission Filter Kit,Freightliner,"Cascadia",filter,transmission_filter,7200,
FL-CASC-HYDROFILT,Cascadia Hydraulic Filter,Freightliner,"Cascadia",filter,hydraulic_filter,5800,
FL-CASC-POWERSTEER,Cascadia Power Steering Pump,Freightliner,"Cascadia",suspension,pump,42000,
FL-CASC-RACEKITPS,Cascadia Power Steering Rack Kit,Freightliner,"Cascadia",suspension,rack,58000,
